Source	Name	Id	Category	Price	Volume	DetailsId	Image
Sockets	Warding Rune of Symbiosis	warding-rune-of-symbiosis	Sockets	0.00124	0.003926	warding-rune-of-symbiosis	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUnVuaWNXYXJkOCIsInNjYWxlIjoxLCJyZWFsbSI6InBvZTIifV0/5aefb386bc/RunicWard8.png
Verisium	Adaptive Alloy	adaptive-alloy	Verisium	0.09117	11.82	adaptive-alloy	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvQ2hpcHBlZFZlcmlzaXVtIiwic2NhbGUiOjEsInJlYWxtIjoicG9lMiJ9XQ/5795b74448/ChippedVerisium.png
Verisium	Celestial Alloy	celestial-alloy	Verisium	0.6215	158.2	celestial-alloy	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvQWxsb3k0Iiwic2NhbGUiOjEsInJlYWxtIjoicG9lMiJ9XQ/df21374115/Alloy4.png
Verisium	Cyclonic Alloy	cyclonic-alloy	Verisium	0.01285	4.41	cyclonic-alloy	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvSW1idWVkVmVyaXNpdW0iLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/083dc3c30d/ImbuedVerisium.png
Verisium	Exceptional Verisium	exceptional-verisium	Verisium	0.002374	19.17	exceptional-verisium	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvUGVyZmVjdFZlcmlzaXVtIiwic2NhbGUiOjEsInJlYWxtIjoicG9lMiJ9XQ/fce9475fdb/PerfectVerisium.png
Verisium	Expansive Alloy	expansive-alloy	Verisium	0.01899	5.46	expansive-alloy	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvU3RhbmRhcmRWZXJpc2l1bSIsInNjYWxlIjoxLCJyZWFsbSI6InBvZTIifV0/4ee9afb77c/StandardVerisium.png
Verisium	Liquid Verisium	liquid-verisium	Verisium	0.08633	1438	liquid-verisium	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvTGlxdWlkTWV0YWxWZXJpc2l1bSIsInNjYWxlIjoxLCJyZWFsbSI6InBvZTIifV0/af9a074e38/LiquidMetalVerisium.png
Verisium	Medved's Crest of the Circle	medveds-crest-of-the-circle	Verisium	0.0001014	0.05889	medveds-crest-of-the-circle	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvVWh0cmVkQ3Jlc3QiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/273a9b8731/UhtredCrest.png
Verisium	Mystic Alloy	mystic-alloy	Verisium	0.02245	7.52	mystic-alloy	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvQ2VsZXN0aWFsVmVyaXNpdW0iLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/1478b03254/CelestialVerisium.png
Verisium	Olroth's Crest of the Sun	olroths-crest-of-the-sun	Verisium	0.1265	27.32	olroths-crest-of-the-sun	/gen/image/WzI1LDE0LHsiZiI6IjJESXRlbXMvQ3VycmVuY3kvRXhwZWRpdGlvbjIvT2xyb3RoQ3Jlc3QiLCJzY2FsZSI6MSwicmVhbG0iOiJwb2UyIn1d/7af5ff0fcb/OlrothCrest.png
